NASDAQ Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,NASDAQ,Common Stock
ACLX,"Arcellx, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ACMR,"ACM Research, Inc. - Class A Common Stock",G,N,N,100,N,N,NASDAQ,Yes
ACNB,ACNB Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,Yes
ACNT,Ascent Industries Co. - Common Stock,G,N,N,100,N,N,NASDAQ,Yes
ACON,"Aclarion, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,Yes
ACONW,"Aclarion, Inc. - Warrant",S,N,D,100,N,N,NASDAQ,No
ACOR,"Acorda Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,Yes
ACRX,"AcelRx Pharmaceuticals, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,Yes
ACST,"Acasti Pharma, Inc.  - Class A Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ACT,"Enact Holdings, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ACTG,Acacia Research Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ACVA,ACV Auctions Inc. - Class A Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ACWI,iShares MSCI ACWI ETF,G,N,N,100,Y,N,NASDAQ,No
ACWX,iShares MSCI ACWI ex U.S. ETF,G,N,N,100,Y,N,NASDAQ,No
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",G,N,N,100,N,N,NASDAQ,No
ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,Q,N,D,100,N,N,NASDAQ,No
ADBE,Adobe Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ADD,"Color Star Technology Co., Ltd. - Class A Ordinary Shares",S,N,N,100,N,N,NASDAQ,No
ADEA,Adeia Inc.  - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ADER,26 Capital Acquisition Corp. - Class A Common Stock,S,N,N,100,N,N,NASDAQ,Yes
ADERU,26 Capital Acquisition Corp. - Unit,S,N,N,100,N,N,NASDAQ,No
ADERW,26 Capital Acquisition Corp. - Warrant,S,N,N,100,N,N,NASDAQ,No
ADES,"Advanced Emissions Solutions, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,Yes
ADI,"Analog Devices, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ADMA,ADMA Biologics Inc - Common Stock,G,N,N,100,N,N,NASDAQ,Yes
ADN,"Advent Technologies Holdings, Inc. - Class A Common Stock",S,N,D,100,N,N,NASDAQ,Yes
ADNWW,"Advent Technologies Holdings, Inc. - Warrant",S,N,N,100,N,N,NASDAQ,No
ADOC,Edoc Acquisition Corp. - Class A Ordinary Share,S,N,N,100,N,N,NASDAQ,No
ADOCR,Edoc Acquisition Corp. - Right,S,N,N,100,N,N,NASDAQ,No
ADOCW,Edoc Acquisition Corp. - Warrant,S,N,N,100,N,N,NASDAQ,No
ADP,"Automatic Data Processing, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ADPT,Adaptive Biotechnologies Corporation - Common Stock,Q,N,D,100,N,N,NASDAQ,Yes
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,S,N,N,100,N,N,NASDAQ,No
ADSEW,ADS-TEC ENERGY PLC - Warrant,S,N,N,100,N,N,NASDAQ,No
ADSK,"Autodesk, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ADTH,"AdTheorent Holding Company, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ADTHW,"AdTheorent Holding Company, Inc. - Warrants",S,N,N,100,N,N,NASDAQ,No
ADTN,"ADTRAN Holdings, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
